,structure_name,structure_path,site Number,site AtomicWeight,site Row,site Column,site Electronegativity,site CovalentRadius,AGNI eta=8.00e-01,AGNI eta=1.23e+00,AGNI eta=1.88e+00,AGNI eta=2.89e+00,AGNI eta=4.43e+00,AGNI eta=6.80e+00,AGNI eta=1.04e+01,AGNI eta=1.60e+01,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_1.0,G4_0.005_1.0_-1.0,G4_0.005_4.0_1.0,G4_0.005_4.0_-1.0,local difference in Number,local difference in AtomicWeight,local difference in Row,local difference in Column,local difference in Electronegativity,local difference in CovalentRadius,local signed difference in Number,local signed difference in AtomicWeight,local signed difference in Row,local signed difference in Column,local signed difference in Electronegativity,local signed difference in CovalentRadius,maximum local difference in Number,maximum local difference in AtomicWeight,maximum local difference in Row,maximum local difference in Column,maximum local difference in Electronegativity,maximum local difference in CovalentRadius,minimum local difference in Number,minimum local difference in AtomicWeight,minimum local difference in Row,minimum local difference in Column,minimum local difference in Electronegativity,minimum local difference in CovalentRadius
AFI.cif_24,AFI.cif,cifs,8.0,15.9994,2.0,16.0,3.44,66.0,0.024278645795618337,0.28716555080674205,1.121907514764805,2.5932448227814837,4.113517856878913,5.146293090781993,5.693498566848495,5.949950426723477,6.046232725421875,2.0517244669955788,0.1922859217923427,0.00031653614960274845,5.79423196157426,1.7184004705043054,3.7242145987307307,0.46442637145354454,1.8776844487476811,3.782313669334892,0.3129474081246136,0.6258948162492272,0.4819390085119048,14.082633365607608,1.8776844487476811,3.782313669334892,0.3129474081246136,-0.6258948162492272,-0.4819390085119048,14.082633365607608,6.0,12.0861,1.0,0.0,0.0,45.0,0.0,0.0,0.0,-2.0,-1.54,0.0
AFI.cif_25,AFI.cif,cifs,8.0,15.9994,2.0,16.0,3.44,66.0,0.024355705527329373,0.2875130524009786,1.1300841768080254,2.6418315669052093,4.208766583046789,5.269467555402601,5.829883225135786,6.092143691492292,6.190544304062565,2.0835832575185336,0.19256173305118096,0.00031854393767724506,5.922533512123187,1.7884380380215104,3.7707840283275904,0.4634441862070486,1.997073581135048,4.022805168159384,0.33284559685584136,0.6656911937116827,0.5125822191579957,14.978051858512861,1.997073581135048,4.022805168159384,0.33284559685584136,-0.6656911937116827,-0.5125822191579957,14.978051858512861,6.0,12.0861,1.0,0.0,0.0,45.0,0.0,0.0,0.0,-2.0,-1.54,0.0
AFI.cif_26,AFI.cif,cifs,8.0,15.9994,2.0,16.0,3.44,66.0,0.02414146726822789,0.2857713700688341,1.1000985519898663,2.4470587243459088,3.7649814104518167,4.639044198840917,5.098021939094047,5.312386142004257,5.392760688652618,1.962503549046866,0.19143889315752113,0.0003130589045038296,5.173511501408618,1.5285866359650129,3.3961179902920757,0.4536124782070492,1.2201877565084984,2.4578852073228936,0.20336462608474973,0.40672925216949946,0.3131815241705146,9.151408173813739,1.2201877565084984,2.4578852073228936,0.20336462608474973,-0.40672925216949946,-0.3131815241705146,9.151408173813739,6.0,12.0861,1.0,0.0,0.0,45.0,0.0,0.0,0.0,-2.0,-1.54,0.0
AFI.cif_27,AFI.cif,cifs,8.0,15.9994,2.0,16.0,3.44,66.0,0.024294027852910793,0.28728794934080226,1.122283756362215,2.5933856227112275,4.11296062789842,5.145176818923947,5.69207834445509,5.948387480499807,6.04461624191174,2.0520298011981306,0.1923693598589881,0.00031692932945308013,5.792289105660816,1.718608308825397,3.7227939419508274,0.4652949081423165,1.87540800251142,3.7777281098588786,0.31256800041856997,0.6251360008371399,0.48135472064459783,14.065560018835649,1.87540800251142,3.7777281098588786,0.31256800041856997,-0.6251360008371399,-0.48135472064459783,14.065560018835649,6.0,12.0861,1.0,0.0,0.0,45.0,0.0,0.0,0.0,-2.0,-1.54,0.0
AFI.cif_28,AFI.cif,cifs,8.0,15.9994,2.0,16.0,3.44,66.0,0.024328620749195378,0.2873468879869427,1.129543078803236,2.640856777029683,4.207764444513168,5.268605886521561,5.829129498979322,6.091446609640757,6.189869357230803,2.082715722098408,0.19243800692072402,0.00031784403449965385,5.920909453121321,1.7868078289693647,3.770391972458062,0.46291972527185754,1.9981820420630743,4.025037996429754,0.3330303403438457,0.6660606806876914,0.5128667241295225,14.986365315473059,1.9981820420630743,4.025037996429754,0.3330303403438457,-0.6660606806876914,-0.5128667241295225,14.986365315473059,6.0,12.0861,1.0,0.0,0.0,45.0,0.0,0.0,0.0,-2.0,-1.54,0.0
AFI.cif_29,AFI.cif,cifs,8.0,15.9994,2.0,16.0,3.44,66.0,0.02415734716224137,0.28585938429972707,1.100315709362,2.4475453389013277,3.7657673441964916,4.6400271927263,5.09910593367882,5.313516600260815,5.393908445966191,1.9628854239840134,0.19150768177190905,0.00031346682564639645,5.174715758245153,1.5293649044593713,3.3965075136007514,0.45380728111041085,1.2192520798678972,2.4560004270818987,0.2032086799779829,0.4064173599559658,0.31294136716609366,9.144390599009231,1.2192520798678972,2.4560004270818987,0.2032086799779829,-0.4064173599559658,-0.31294136716609366,9.144390599009231,6.0,12.0861,1.0,0.0,0.0,45.0,0.0,0.0,0.0,-2.0,-1.54,0.0
AFI.cif_30,AFI.cif,cifs,8.0,15.9994,2.0,16.0,3.44,66.0,0.024154607633989137,0.2865531323333532,1.121176261918151,2.5793357770382963,4.058106427947679,5.047452454819565,5.5672167154466665,5.8098292114016585,5.900760210128828,2.045602018588308,0.19177340406559296,0.00031334070047666263,5.762767695355191,1.7242118480493864,3.7109457117284004,0.4541569075021678,1.6838835020309433,3.391930732316031,0.2806472503384906,0.5612945006769812,0.43219676552127545,12.629126265232076,1.6838835020309433,3.391930732316031,0.2806472503384906,-0.5612945006769812,-0.43219676552127545,12.629126265232076,6.0,12.0861,1.0,0.0,0.0,45.0,0.0,0.0,0.0,-2.0,-1.54,0.0
AFI.cif_31,AFI.cif,cifs,8.0,15.9994,2.0,16.0,3.44,66.0,0.023954554613651573,0.28515368291152665,1.1223527438076906,2.6250482431270483,4.189781581237125,5.252444781098939,5.814684223781854,6.077944457107848,6.17674138420182,2.0694435310319026,0.19076750011204768,0.0003082515536201681,5.96715933505347,1.7747802679655136,3.8080582527943942,0.45182232263794525,2.0092250797740365,4.04728253944283,0.33487084662900607,0.6697416932580121,0.5157011038086694,15.069188098305274,2.0092250797740365,4.04728253944283,0.33487084662900607,-0.6697416932580121,-0.5157011038086694,15.069188098305274,6.0,12.0861,1.0,0.0,0.0,45.0,0.0,0.0,0.0,-2.0,-1.54,0.0
AFI.cif_32,AFI.cif,cifs,8.0,15.9994,2.0,16.0,3.44,66.0,0.024361680404947298,0.2879533714368692,1.1238248144304357,2.5646525052266584,4.007649819769034,4.968046289947819,5.471721641064135,5.706680836701635,5.79472385457154,2.0400286570211756,0.19278251817329792,0.0003186553644462551,5.711766327079681,1.7274648738789629,3.6578831475566216,0.4462380500600895,1.422584660748355,2.865583411378448,0.23709744345805914,0.4741948869161183,0.3651300629254111,10.66938495561266,1.422584660748355,2.865583411378448,0.23709744345805914,-0.4741948869161183,-0.3651300629254111,10.66938495561266,6.0,12.0861,1.0,0.0,0.0,45.0,0.0,0.0,0.0,-2.0,-1.54,0.0
AFI.cif_33,AFI.cif,cifs,8.0,15.9994,2.0,16.0,3.44,66.0,0.02417647398045427,0.2867110387970121,1.1216295435370225,2.579657037177632,4.057889303259688,5.0467888918269646,5.566305313328652,5.808800076840891,5.899686677141192,2.0460415481798626,0.19188483373195608,0.000313898579225079,5.762002253373461,1.7250740665659787,3.7097294817186226,0.45447362840027883,1.6809492339978722,3.3860200895036137,0.280158205666312,0.560316411332624,0.43144363672612057,12.607119254984042,1.6809492339978722,3.3860200895036137,0.280158205666312,-0.560316411332624,-0.43144363672612057,12.607119254984042,6.0,12.0861,1.0,0.0,0.0,45.0,0.0,0.0,0.0,-2.0,-1.54,0.0
