,site Number,site AtomicWeight,site Row,site Column,site Electronegativity,site CovalentRadius,AGNI eta=8.00e-01,AGNI eta=1.23e+00,AGNI eta=1.88e+00,AGNI eta=2.89e+00,AGNI eta=4.43e+00,AGNI eta=6.80e+00,AGNI eta=1.04e+01,AGNI eta=1.60e+01,G2_0.05,G2_4.0,G2_20.0,G2_80.0,G4_0.005_1.0_1.0,G4_0.005_1.0_-1.0,G4_0.005_4.0_1.0,G4_0.005_4.0_-1.0,local difference in Number,local difference in AtomicWeight,local difference in Row,local difference in Column,local difference in Electronegativity,local difference in CovalentRadius,local signed difference in Number,local signed difference in AtomicWeight,local signed difference in Row,local signed difference in Column,local signed difference in Electronegativity,local signed difference in CovalentRadius,maximum local difference in Number,maximum local difference in AtomicWeight,maximum local difference in Row,maximum local difference in Column,maximum local difference in Electronegativity,maximum local difference in CovalentRadius,minimum local difference in Number,minimum local difference in AtomicWeight,minimum local difference in Row,minimum local difference in Column,minimum local difference in Electronegativity,minimum local difference in CovalentRadius
cifs/RSM0304_46,7.0,14.0067,2.0,15.0,3.04,71.0,0.09989395379614951,0.637875011557673,1.9972206733065592,4.156024595321854,6.287264841072671,7.705910107668088,8.450827046627312,8.798579371862697,8.928931635858516,3.3777353915926627,0.4627080290488003,0.0049893947874246995,12.87322936890013,5.394095337036191,7.553494835840397,1.380091564307883,4.349974091366987,9.583046069510452,0.4112435742431347,3.523380858337905,0.6462139836708899,17.238987024255906,1.6447159494064036,3.903508438032122,0.13762866935342005,-3.01741325353006,-0.4231171069073975,3.1728432377608295,20.0,44.926494999999996,2.0,2.0,0.94,55.0,-6.0,-12.99876,-1.0,-14.0,-1.1600000000000001,-40.0
cifs/RSM0304_47,7.0,14.0067,2.0,15.0,3.04,71.0,0.09936886010934841,0.6275294027101267,1.9742621732707875,4.191313954174412,6.405144366286507,7.875134763664647,8.644593316491921,9.003171844346438,9.13747656262652,3.3856405824637594,0.45628612981744937,0.004968153278472841,13.393061777303759,5.550204988705743,7.89405327880786,1.3293295447733,4.8996707174459395,10.850762009197682,0.4881289828193149,4.31945444156546,0.7058546922240826,20.17825632490189,1.6179743540653284,3.913662789095522,0.10990410230535143,-3.782140221300857,-0.45476346612539986,1.3293889175105806,20.0,44.926494999999996,2.0,2.0,0.94,55.0,-6.0,-12.99876,-1.0,-14.0,-1.1600000000000001,-40.0
cifs/RSM0304_48,7.0,14.0067,2.0,15.0,3.04,71.0,0.10003691311900345,0.6390944915001535,2.001806440103498,4.15190629472725,6.262237716503228,7.663537145593586,8.398689753480324,8.741767263166357,8.870350487740707,3.3786948974382014,0.4634531140458285,0.005002233710248117,12.786821668866684,5.391887325437116,7.489763524429622,1.388766978769395,4.293455937449988,9.460411223336587,0.4022119962654835,3.4469732647317155,0.645040508719694,16.99786420469664,1.650020975211212,3.915606269274113,0.13967848944680186,-2.9224012091933704,-0.4132187401712007,3.245293759024643,20.0,44.926494999999996,2.0,2.0,0.94,55.0,-6.0,-12.99876,-1.0,-14.0,-1.1600000000000001,-40.0
cifs/RSM0304_49,7.0,14.0067,2.0,15.0,3.04,71.0,0.09923718208624026,0.6264115210652058,1.9697847036889526,4.1899166801567285,6.410555219650266,7.8844740296915665,8.655577718977623,9.014814053079848,9.149346800637627,3.382211437540526,0.4555891828508096,0.004957055881468207,13.434840181540032,5.5353374682114795,7.930316716752963,1.3197835128292208,5.109971121518357,11.318832207069832,0.5155120809107876,4.48681419781076,0.7136681892221289,20.91356152975162,1.7163514914950933,4.138050628768059,0.11745506188839883,-3.9901630127891723,-0.4804066323657824,1.5194224766706619,20.0,44.926494999999996,2.0,2.0,0.94,55.0,-6.0,-12.99876,-1.0,-14.0,-1.1600000000000001,-40.0
cifs/RSM0304_50,8.0,15.9994,2.0,16.0,3.44,66.0,0.06986787717331833,0.3836894192412594,1.431291058464487,3.4849940851273855,5.577508552006047,6.955819868387882,7.672892304607492,8.006061181624615,8.130690663438617,2.7249055625720913,0.2785159748994544,0.004957927020240743,11.473756680814907,3.4486602918789946,7.108487932765134,0.5441668012564636,6.469613506173567,14.176391209136819,0.7493075161497622,8.794051276247464,1.069843755886288,28.201618142384316,-1.2683295957227103,-2.260136944054809,-0.2250186077034478,-8.573511996036594,-0.950752544572419,-7.884649714375851,19.0,42.933794999999996,2.0,1.0,0.54,60.0,-7.0,-14.99146,-1.0,-15.0,-1.56,-35.0
cifs/RSM0304_51,8.0,15.9994,2.0,16.0,3.44,66.0,0.06997919553315667,0.4276839787317732,1.631888496911933,3.8848995541122857,6.1367556941067365,7.607730159661739,8.370055782319824,8.723634486158051,8.855802892931763,3.0586122757310394,0.30349936193494786,0.004790226230908231,13.314771533227612,4.500594802575217,7.844251310985081,0.7340342167913481,6.4278331104283195,14.114685077546653,0.7303799593809781,8.335913793084412,1.0585277555172061,27.713036720794438,-0.8412466661825718,-1.3087383740503853,-0.16824296046787338,-8.08962883851316,-0.9255338800487298,-5.955330065056638,19.0,42.933794999999996,2.0,1.0,0.54,60.0,-7.0,-14.99146,-1.0,-15.0,-1.56,-35.0
cifs/RSM0304_52,8.0,15.9994,2.0,16.0,3.44,66.0,0.23469680994094055,0.7783515075243186,1.9384707335243105,3.823080318091661,5.6524736184268205,6.839156589693935,7.45263121803829,7.73687727831362,7.8430842784165336,3.14353140405553,0.6227429350358954,0.04208710202173763,13.413115823345501,5.192983195777875,7.637441546147482,0.9933677205801363,6.2933295232850615,13.438046003288553,0.860267377159278,13.175468540559287,1.1875303056882058,31.466647616425306,-6.2933295232850615,-13.438046003288553,-0.860267377159278,-13.175468540559287,-1.1875303056882058,-28.752068784724155,0.0,0.0,0.0,0.0,0.0,10.0,-7.0,-14.99146,-1.0,-15.0,-1.2399999999999998,-35.0
cifs/RSM0304_53,8.0,15.9994,2.0,16.0,3.44,66.0,0.06985139967318346,0.3817722006871199,1.438381718177276,3.5316367464900633,5.66186869204909,7.060073661473369,7.785756303257434,8.122516346119635,8.248422582250116,2.7564050349786435,0.2772495368306913,0.004961335035172841,11.87598968612464,3.5362744850802663,7.288099818763568,0.5490500598306726,6.590437623556568,14.439755354503502,0.7689959356859132,9.023655969269885,1.0810693165861682,28.732527828413563,-1.329175723332051,-2.392518194686851,-0.23774605857534337,-8.809267901595781,-0.9652997600421519,-8.432934579797353,19.0,42.933794999999996,2.0,1.0,0.54,60.0,-7.0,-14.99146,-1.0,-15.0,-1.56,-35.0
cifs/RSM0304_54,8.0,15.9994,2.0,16.0,3.44,66.0,0.07004215120167717,0.42676501109359166,1.6361475186479886,3.9173198795122306,6.189890158712066,7.666582193707873,8.429301798299297,8.782472951782465,8.914393891741662,3.0806597055292415,0.30320008506380614,0.004771932227563514,13.564686881203475,4.562429321056108,7.925535583710381,0.7290043523923249,6.447546665493022,14.148115096783048,0.740776288707209,8.569618657396347,1.0620052791805195,27.964473694056633,-1.0438308880770353,-1.759335766240603,-0.1973279575994451,-8.328662025504116,-0.931888697958715,-7.037784613706331,19.0,42.933794999999996,2.0,1.0,0.54,60.0,-7.0,-14.99146,-1.0,-15.0,-1.56,-35.0
cifs/RSM0304_55,8.0,15.9994,2.0,16.0,3.44,66.0,0.23405764467209564,0.7796479156543906,1.951893273218499,3.8462239024895593,5.667008733047599,6.84083179573694,7.445902061305741,7.72590135950413,7.830467943974769,3.1655246333599125,0.6230509808740575,0.04179991205166732,13.455531014389972,5.231452020150716,7.699417781715141,1.0043373455695233,6.315318344834616,13.486225212818063,0.8644630719363972,13.231022920325794,1.1894484035706592,31.57659172417308,-6.315318344834616,-13.486225212818063,-0.8644630719363972,-13.231022920325794,-1.1894484035706592,-28.935823311374726,0.0,0.0,0.0,0.0,0.0,10.0,-7.0,-14.99146,-1.0,-15.0,-1.2399999999999998,-35.0
cifs/RSM0304_56,9.0,18.9984032,2.0,17.0,3.98,57.0,0.002309643004846574,0.110508757363909,0.9146244474267524,2.9416755489758515,5.220092005312381,6.7756668642140685,7.595496927472002,7.978291116016911,8.121754911002652,2.155844780236955,0.05854098150697459,2.9331236286938852e-06,9.295369787298691,2.4774488679673294,5.559483497903754,0.22339262703200485,8.090028457455016,18.294382877765283,0.8769861603442103,8.363916052828435,1.4582956131429727,31.516776730355563,1.2450508019945798,2.416419714602368,0.1602448684835226,-8.363916052828435,-1.4582956131429727,12.881503141977682,18.0,39.9347918,2.0,-1.0,-0.54,69.0,-8.0,-17.990463199999997,-1.0,-16.0,-2.1,-26.0
cifs/RSM0304_57,9.0,18.9984032,2.0,17.0,3.98,57.0,0.0022915585350788714,0.11509100560438956,0.9456121380779305,2.9838575246633434,5.254629828683776,6.803698565431211,7.620452015173253,8.001938698960993,8.144935900236387,2.1977639711490653,0.06055384638449911,2.796956397165121e-06,9.378570652473803,2.5367343291793016,5.616449480522591,0.24177095502685716,8.207265910564129,18.54826436595774,0.8926205809370005,8.500617116110934,1.4722738327369673,31.86622632139469,1.2740450090578403,2.486967721051701,0.16085841013210717,-8.500617116110934,-1.4722738327369673,12.84040988046746,18.0,39.9347918,2.0,-1.0,-0.54,69.0,-8.0,-17.990463199999997,-1.0,-16.0,-2.1,-26.0
cifs/AFI_0,14.0,28.0855,3.0,14.0,1.9,111.0,0.04808441782960254,0.5252707364824881,1.5747138994394334,2.979503300439143,4.341181855410041,5.256156582216074,5.739713633021101,5.966149347075137,6.0511368201524505,2.48223331207427,0.3646622182110885,0.0006234194819644226,5.251510773947351,3.0685777376732206,3.0431793019362456,0.7592490126634013,6.000000000000002,12.086100000000002,1.0,2.0,1.5400000000000003,45.000000000000014,-6.000000000000002,-12.086100000000002,-1.0,2.0,1.5400000000000003,-45.000000000000014,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
cifs/AFI_1,14.0,28.0855,3.0,14.0,1.9,111.0,0.048185486559618955,0.5257734296858279,1.575026638585392,2.9860828974878606,4.364017307596813,5.2936139989768085,5.785728452043835,6.01633268487187,6.102908932760544,2.4852107188476418,0.36508612894951603,0.0006258791296256985,5.298780996698263,3.0768961297094894,3.071149122210577,0.7597904768143927,6.0,12.0861,1.0,2.0,1.54,45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
cifs/AFI_2,14.0,28.0855,3.0,14.0,1.9,111.0,0.0484374443062443,0.5264084262962749,1.559584436934835,2.9095389778322107,4.207321104499363,5.076862082448724,5.5357088596232344,5.750410678539567,5.830967454125959,2.4338508484626327,0.36590842041900756,0.0006329584612474239,4.9041874197845745,2.921355416808893,2.897289573917675,0.7494830422953788,5.999999999999998,12.0861,1.0,2.0,1.54,45.0,-5.999999999999998,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0,-6.0,-12.0861,-1.0,2.0,1.54,-45.0
